剧本ID,剧名,角色名,行当,性别,服饰备注
02012012,九龙杯【七本】,杨香武,武丑,unknown,
02012012,九龙杯【七本】,王伯燕,丑,male,
02012012,九龙杯【七本】,邹应龙,副净,unknown,
02012012,九龙杯【七本】,英雄甲,武生,male,
02012012,九龙杯【七本】,英雄乙,副净,unknown,
02012012,九龙杯【七本】,英雄丙,丑,male,
02012013,丁彪投宿,万君兆,武生,male,
02012020,莲花湖,胜英,武老生,unknown,
02012020,莲花湖,韩秀,武小生,unknown,
02012020,莲花湖,秦尤,净,male,
02012020,莲花湖,李刚,净,male,
02012020,莲花湖,张大川,净,male,
02012020,莲花湖,黄三泰,净,male,
02012020,莲花湖,贺照雄,武生,male,
02012020,莲花湖,武万年,净,male,
02012020,莲花湖,濮大勇,净,male,
02012020,莲花湖,杨香武,武丑,unknown,
02012020,莲花湖,崔通,净,male,
02012020,莲花湖,展士雄,净,male,
02012020,莲花湖,张氏,武旦,female,
02012020,莲花湖,刘氏,武旦,female,
02012024,霸王庄,黄隆基,净,male,
02012024,霸王庄,朱光祖,丑,male,
02012024,霸王庄,黄天霸,武生,male,
02012024,霸王庄,余七,净,male,
02012024,霸王庄,七奶奶,武旦,female,
02012024,霸王庄,施世纶,末,unknown,
02012024,霸王庄,李明玉,末,unknown,
02012033,五里碑,霍炳,净,male,
02012033,五里碑,黄天霸,武生,male,
02012033,五里碑,丑老道,丑,male,
02012034,东昌府【头本】,郝文僧,净,male,
02012034,东昌府【头本】,施世纶,老生,male,
02012034,东昌府【头本】,黄天霸,武生,male,
02012035,东昌府【二本】,黄天霸,武生,male,
02012035,东昌府【二本】,郝文僧,净,male,
02012035,东昌府【二本】,郝素玉,旦,female,
02012035,东昌府【二本】,郝世洪,老生,male,
02012035,东昌府【二本】,郝夫人,老旦,female,
02012035,东昌府【二本】,施世纶,老生,male,
02012035,东昌府【二本】,丑院子,丑,male,
02012036,东昌府【三本】,黄天霸,武生,male,
02012036,东昌府【三本】,郎如豹,净,male,
02012036,东昌府【三本】,施世纶,老生,male,
02012036,东昌府【三本】,丑院子,丑,male,
02012036,东昌府【三本】,丑丫头,彩旦,female,
02012037,弓砚缘【头本】,何玉凤,旦,female,
02012037,弓砚缘【头本】,何母,老旦,female,
02012037,弓砚缘【头本】,纪献唐,净,male,
02012038,弓砚缘【二本】,安学海,老生,male,
02012038,弓砚缘【二本】,华忠,老生,male,
02012038,弓砚缘【二本】,佟夫人,旦,female,
02012039,弓砚缘【三本】,何玉凤,旦,female,
02012039,弓砚缘【三本】,安骥,小生,male,
02012039,弓砚缘【三本】,白脸狼,丑,male,
02012039,弓砚缘【三本】,黄傻狗,丑,male,
02012041,弓砚缘【五本】,纪献唐,净,male,
02012041,弓砚缘【五本】,安骥,小生,male,
02012042,弓砚缘【六本】,纪献唐,净,male,
02012042,弓砚缘【六本】,纪多文,武生,male,
02012043,弓砚缘【七本】,何玉凤,旦,female,
02012043,弓砚缘【七本】,安学海,老生,male,
02012043,弓砚缘【七本】,邓九公,净,male,
02012044,弓砚缘【八本】,安学海,老生,male,
02012044,弓砚缘【八本】,邓九公,净,male,
02012044,弓砚缘【八本】,何玉凤,旦,female,
02012045,弓砚缘【九本】,何玉凤,旦,female,
02012045,弓砚缘【九本】,安骥,小生,male,
02012045,弓砚缘【九本】,张金凤,旦,female,
02012045,弓砚缘【九本】,安学海,老生,male,
02012045,弓砚缘【九本】,邓九公,净,male,
02012045,弓砚缘【九本】,佟夫人,旦,female,
02012046,弓砚缘【十本】,何玉凤,旦,female,
02012046,弓砚缘【十本】,安骥,小生,male,
02012046,弓砚缘【十本】,纪多文,武生,male,
02012046,弓砚缘【十本】,安学海,老生,male,
02012046,弓砚缘【十本】,邓九公,净,male,
02012046,弓砚缘【十本】,佟夫人,旦,female,
03001001,米注山,楚庄王,老生,male,
03001001,米注山,斗越椒,净,male,
03001001,米注山,公子茷,武生,male,
03001001,米注山,斗贲凰,净,male,
03001002,平陆浑,楚庄王,老生,male,
03001003,清河桥,楚庄王,老生,male,
03001003,清河桥,斗越椒,净,male,
03001003,清河桥,养由基,小生,male,
03001004,摘缨会,楚庄王,老生,male,
03001004,摘缨会,唐狡,武生,male,
03001004,摘缨会,襄老,丑,male,
03001004,摘缨会,许姬,旦,female,
03001004,摘缨会,先蔑,净,male,
03001005,荥阳关,楚庄王,老生,male,
03001005,荥阳关,唐狡,武生,male,
03001005,荥阳关,襄老,丑,male,
03001006,连环阵,楚庄王,老生,male,
03001006,连环阵,养由基,武生,male,
03002001,一匹布,张古董,丑,male,
03002001,一匹布,驴夫、县官,丑,male,
03002001,一匹布,沈赛花,花旦,female,
03002001,一匹布,苏丑、书吏,丑,male,
03002001,一匹布,李天龙,小生,male,
03002002,小上坟,萧素贞,花旦,female,
03002002,小上坟,刘禄景,丑,male,
03002003,荷珠配,赵旺,丑,male,
03002003,荷珠配,荷珠,花旦,female,
03002003,荷珠配,刘志偕,老生,male,
03002003,荷珠配,刘金凤,旦,female,
03002003,荷珠配,赵旭,小生,male,
03002004,打刀,吴衍能,丑,male,
03002004,打刀,吴妻,花旦,female,
03002004,打刀,赵匡胤,老生,male,
03002005,一两漆,普胡子,丑,male,
03002005,一两漆,鲍大嫂,旦,female,
03002005,一两漆,苟阴阳,丑,male,
03002005,一两漆,朱元璋,小生,male,
03003001,双尽忠,李广,老生,male,
03003001,双尽忠,杨太贞,旦,female,
03003001,双尽忠,李刚,净,male,
03003002,李广催贡,李广,老生,male,
03003003,庆阳图,李广,老生,male,
03003003,庆阳图,李刚,净,male,
03003003,庆阳图,赧王,小生,male,
03003003,庆阳图,马妃,旦,female,
03003003,庆阳图,李虎,副净,unknown,
03003003,庆阳图,马兰,丑,male,
03003004,锁五龙,单雄信,净,male,
03003004,锁五龙,李世民,小生,male,
03003004,锁五龙,徐茂公,老生,male,
03003004,锁五龙,罗成,小生,male,
03003004,锁五龙,程咬金,丑,male,
03003004,锁五龙,尉迟恭,净,male,
03003005,黑风帕,高旺,净,male,
03003005,黑风帕,高来,丑,male,
03003005,黑风帕,张兰英,老旦,female,
03003005,黑风帕,杨八妹,旦,female,
03003005,黑风帕,张保,小生,male,
03003005,黑风帕,达婆,旦,female,
03004001,别宫祭江,孙尚香,旦,female,
03004001,别宫祭江,吴国太,老旦,female,
03004002,胭脂虎,石中玉,花旦,female,
03004002,胭脂虎,李景让,老生,male,
03004002,胭脂虎,李母,老旦,female,
03004002,胭脂虎,王珩玉,小生,male,
03004003,官庄堡,曹正邦,老生,male,
03004003,官庄堡,魏忠贤,净,male,
03004003,官庄堡,蔡同善,老生,male,
03004003,官庄堡,杨氏,老旦,female,
03004003,官庄堡,曹福,老生,male,
03004003,官庄堡,曹玉莲,旦,female,
03004004,南天门,曹福,老生,male,
03004004,南天门,曹玉莲,旦,female,
03004004,南天门,店家甲,老生,male,
03004004,南天门,店家乙,丑,male,
03004004,南天门,驴夫,丑,male,
03005001,合欢图,王濬,老生,male,
03005001,合欢图,周处,净,male,
03005001,合欢图,王瑚,小生,male,
03005001,合欢图,王琏,小生,male,
03005001,合欢图,孙琪花,旦,female,
03005001,合欢图,孙瑶草,旦,female,
03006001,武昭关,伍员,老生,male,
03006001,武昭关,国太,旦,female,
03006002,夺小沛,吕布,小生,male,
03006002,夺小沛,刘备,老生,male,
03006002,夺小沛,纪灵,净,male,
03006002,夺小沛,张飞,净,male,
03006002,夺小沛,关羽,红生,unknown,
03006003,白门楼,吕布,小生,male,
03006003,白门楼,曹操,净,male,
03006003,白门楼,刘备,老生,male,
03006003,白门楼,貂蝉,旦,female,
03006003,白门楼,陈宫,老生,male,
03006003,白门楼,张辽,老生,male,
03006005,叔宝表功,秦琼,生,unknown,
03006005,叔宝表功,李渊,生,unknown,
03006006,打登州,秦琼,老生,male,
03006006,打登州,杨林,净,male,
03006006,打登州,王舟,小生,male,
03006006,打登州,史大奈,净,male,
03006006,打登州,程咬金,丑,male,
03006006,打登州,徐茂公,老生,male,
03006006,打登州,单雄信,净,male,
03006006,打登州,尤俊达,净,male,
03006006,打登州,罗成,武生,male,
03006007,锤换带,杨滚,净,male,
03006007,锤换带,赵匡胤,红生,unknown,
03006007,锤换带,高怀亮,小生,male,
03006007,锤换带,杨继业,小生,male,
03007002,纪母骂刘邦,纪母,老旦,female,
03007002,纪母骂刘邦,刘邦,老生,male,
03007003,舌辩封侯,蒯彻,老生,male,
03007003,舌辩封侯,刘邦,老生,male,
03007004,甘宁百骑劫魏营,甘宁,武生,male,
03007004,甘宁百骑劫魏营,曹操,净,male,
03007005,十道本,褚遂良,老生,male,
03007005,十道本,李渊,老生,male,
03007005,十道本,李世民,小生,male,
03007005,十道本,李建成,丑,male,
03007005,十道本,李元吉,丑,male,
03007005,十道本,张妃,旦,female,
03007005,十道本,刘妃,旦,female,
03007005,十道本,长孙无忌,老生,male,
03007005,十道本,徐勣,生,unknown,
03007005,十道本,秦叔宝,生,unknown,
03007005,十道本,程咬金,丑,male,
03007006,选元戎,李治,老生,male,
03007006,选元戎,程咬金,丑,male,
03007006,选元戎,秦英,小生,male,
03008001,风雪夺昆仑,狄青,武生,male,
03008001,风雪夺昆仑,杨宗保,老生,male,
03008001,风雪夺昆仑,狄太后,老旦,female,
03008002,珍珠烈火旗,双阳公主,旦,female,
03008002,珍珠烈火旗,狄青,小生,male,
03008002,珍珠烈火旗,鄯善王,老生,male,
03008003,反延安,双阳公主,旦,female,
03008003,反延安,狄青,小生,male,
03008003,反延安,杨宗保,老生,male,
03008004,通海沟,石彩珠,旦,female,
03008004,通海沟,刘庆,净,male,
03009001,黄一刀,姚刚,净,male,
03009001,黄一刀,黄飞刚,武丑,unknown,
03009001,黄一刀,马清,副净,unknown,
03009001,黄一刀,杜明,武生,male,
03009001,黄一刀,黄妻,武旦,female,
03009001,黄一刀,愣儿,丑,male,
03009001,黄一刀,刘老头,外,unknown,
03009002,耒阳县,庞统,净,male,
03009002,耒阳县,张飞,净,male,
03009002,耒阳县,刘备,老生,male,
03009002,耒阳县,孙权,净,male,
03009002,耒阳县,鲁肃,老生,male,
03009002,耒阳县,诸葛亮,老生,male,
03009003,千秋岭,罗成,武生,male,
03009003,千秋岭,尉迟恭,净,male,
03009003,千秋岭,徐茂公,老生,male,
03009003,千秋岭,秦琼,老生,male,
03009003,千秋岭,李世民,小生,male,
03009004,取帅印,秦琼,老生,male,
03009004,取帅印,程咬金,丑,male,
03009004,取帅印,秦怀玉,小生,male,
03009004,取帅印,尉迟恭,净,male,
03011003,浣花溪,任蓉卿,旦,female,
03011003,浣花溪,崔宁,老生,male,
03011003,浣花溪,鱼氏,彩旦,female,
03012001,望儿楼,窦太真,老旦,female,
03012001,望儿楼,李渊,老生,male,
03012002,背楼,窦太真,老旦,female,
03012002,背楼,李渊,老生,male,
03012002,背楼,李世民,小生,male,
03012003,乾坤福寿镜,胡夫人,旦,female,
03012003,乾坤福寿镜,寿春,旦,female,
03012003,乾坤福寿镜,金眼豹,净,male,
03012003,乾坤福寿镜,林鹤,老生,male,
03012003,乾坤福寿镜,林弼显,小生,male,
03012003,乾坤福寿镜,梅俊,老生,male,
03012003,乾坤福寿镜,梅心,丑,male,
03012003,乾坤福寿镜,金夫人,丑,male,
03012003,乾坤福寿镜,徐夫人,旦,female,
03013001,渭水河,姬昌,老生,male,
03013001,渭水河,姜尚,净,male,
03013002,查关,尤春风,旦,female,
03013002,查关,苏利燕,丑,male,
03013002,查关,刘唐建,小生,male,
03013003,百寿图,管辂,老生,male,
03013003,百寿图,南斗星,老生,male,
03013003,百寿图,北斗星,净,male,
03013003,百寿图,赵颜,小生,male,
03013005,反五侯,李存孝,武生,male,
03013005,反五侯,高思继,老生,male,
03013005,反五侯,李克用,净,male,
03013006,五龙斗,王彦章,净,male,
03013006,五龙斗,李克用,净,male,
03013006,五龙斗,高宝童,童,unknown,
03013006,五龙斗,石敬瑭,童,unknown,
03013007,高平关,赵匡胤,红生,unknown,
03013007,高平关,高行周,净,male,
03013007,高平关,高怀德,小生,male,
03013007,高平关,高怀亮,小生,male,
03013008,打窦瑶,赵匡胤,红生,unknown,
03013008,打窦瑶,郑子明,净,male,
03013008,打窦瑶,柴世荣,老生,male,
03013008,打窦瑶,苗光义,老生,male,
03014001,芦花记,闵父,老生,male,
03014001,芦花记,闵母,旦,female,
03014002,芦花河,樊梨花,旦,female,
03014002,芦花河,薛丁山,老生,male,
03014002,芦花河,薛应龙,小生,male,
03014002,芦花河,秦汉,净,male,
03014002,芦花河,窦一虎,净,male,
03014002,芦花河,乌里赫,净,male,
03014003,得意缘,狄云鸾,花旦,female,
03014003,得意缘,卢昆杰,小生,male,
03014003,得意缘,郎霞玉,旦,female,
03014003,得意缘,狄母,老旦,female,
03014003,得意缘,狄龙康,净,male,
03014003,得意缘,狄妻,旦,female,
03014003,得意缘,郎飞豹,净,male,
03014003,得意缘,丫头,丑,male,
03016001,大回朝,闻仲,净,male,
03016002,双带箭,王伯当,老生,male,
03016002,双带箭,李密,净,male,
03016002,双带箭,李世民,小生,male,
03016002,双带箭,河阳公主,旦,female,
03016002,双带箭,李渊,老生,male,
03016003,下河东,呼延寿廷,老生,male,
03016003,下河东,欧阳方,净,male,
03016003,下河东,赵匡胤,红生,unknown,
03016003,下河东,白龙,副净,unknown,
03016003,下河东,呼延凤英,武旦,female,
03016003,下河东,呼延妻,旦,female,
03016004,白龙关,赵匡胤,红生,unknown,
03016004,白龙关,呼延赞,净,male,
03016004,白龙关,欧阳方,净,male,
03016004,白龙关,杨继业,老生,male,
03016005,赛太岁,李七,净,male,
03016005,赛太岁,解差,丑,male,
03016005,赛太岁,王良,小生,male,
03016005,赛太岁,王天祥,老生,male,
03016005,赛太岁,张氏,旦,female,
03017001,反西凉,马超,武生,male,
03017001,反西凉,曹操,净,male,
03017001,反西凉,许褚,净,male,
03017001,反西凉,曹洪,净,male,
03017002,战渭南,马超,武生,male,
03017002,战渭南,韩遂,老生,male,
03017002,战渭南,曹操,净,male,
03017003,战冀州,马超,武生,male,
03017004,赚历城,马超,武生,male,
03017005,葭萌关,马超,武生,male,
03017005,葭萌关,张飞,净,male,
03017005,葭萌关,马岱,老生,male,
03017005,葭萌关,庞德,净,male,
03017005,葭萌关,刘备,老生,male,
03017005,葭萌关,诸葛亮,老生,male,
03018001,登台笑客,齐顷公,净,male,
03018001,登台笑客,郤克,武净,unknown,
03018001,登台笑客,萧后,老旦,female,
03018002,海潮珠,崔杼,老生,male,
03018002,海潮珠,东郭氏,花旦,female,
03018002,海潮珠,齐庄公,丑,male,
03019001,打瓜园,陶三春,武旦,female,
03019001,打瓜园,郑子明,净,male,
03019001,打瓜园,陶洪,武丑,unknown,
03019002,扈家庄,扈三娘,刀马旦,female,
03019003,金猛关,金莲公主,刀马旦,female,
03019003,金猛关,银娥公主,刀马旦,female,
03019003,金猛关,焦玉,净,male,
03019003,金猛关,孟强,小生,male,
03019003,金猛关,葫芦妈妈,彩旦,female,
03019003,金猛关,呼延守用,老生,male,
03019003,金猛关,萧赛红,旦,female,
03019003,金猛关,呼延庆,净,male,
03019003,金猛关,郑熊,净,male,
03019003,金猛关,高奎,净,male,
03019003,金猛关,莫胡里,净,male,
03019004,取金陵,凤吉公主,武旦,female,
03019004,取金陵,徐达,老生,male,
03019004,取金陵,赤福寿,净,male,
03019005,夺太仓,张秀莲,武旦,female,
03019005,夺太仓,张虬,老生,male,
03019005,夺太仓,徐达,老生,male,
03020001,孟母三迁,仉氏,老旦,female,
03020001,孟母三迁,孟轲,娃娃生,unknown,
03020002,游湖阴配,李蕙娘,旦,female,
03020002,游湖阴配,裴玉莲,小生,male,
03020002,游湖阴配,贾似道,净,male,
03021001,花园赠金,王宝钏,旦,female,
03021001,花园赠金,薛平贵,小生,male,
03021002,彩楼配,王宝钏,旦,female,
03021002,彩楼配,薛平贵,小生,male,
03021002,彩楼配,公子丁,丑,male,
03021003,三击掌,王宝钏,旦,female,
03021003,三击掌,王允,老生,male,
03021004,投军降马,薛平贵,小生,male,
03021004,投军降马,王宝钏,旦,female,
03021004,投军降马,王夫人,老旦,female,
03021004,投军降马,王允,老生,male,
03021004,投军降马,苏龙,老生,male,
03021004,投军降马,魏虎,净,male,
03021005,平贵别窑,薛平贵,小生,male,
03021005,平贵别窑,王宝钏,旦,female,
03021006,误卯三打,薛平贵,小生,male,
03021006,误卯三打,苏龙,老生,male,
03021006,误卯三打,魏虎,净,male,
03021006,误卯三打,代战公主,旦,female,
03021007,探寒窑,王宝钏,旦,female,
03021007,探寒窑,王夫人,老旦,female,
03021008,鸿雁捎书,王宝钏,旦,female,
03021009,赶三关,薛平贵,老生,male,
03021009,赶三关,代战公主,旦,female,
03021009,赶三关,莫洪,丑,male,
03021009,赶三关,马达,丑,male,
03021009,赶三关,江海,丑,male,
03021010,武家坡,薛平贵,老生,male,
03021010,武家坡,王宝钏,旦,female,
03021011,算军粮,王宝钏,旦,female,
03021011,算军粮,薛平贵,老生,male,
03021011,算军粮,王允,老生,male,
03021011,算军粮,魏虎,净,male,
03021011,算军粮,苏龙,老生,male,
03021011,算军粮,王夫人,老旦,female,
03021012,银空山,薛平贵,老生,male,
03021012,银空山,代战公主,旦,female,
03021012,银空山,高嗣继,小生,male,
03021012,银空山,魏虎,净,male,
03021012,银空山,王允,老生,male,
03021013,大登殿,薛平贵,老生,male,
03021013,大登殿,王宝钏,旦,female,
03021013,大登殿,代战公主,旦,female,
03021013,大登殿,王允,老生,male,
03021013,大登殿,苏龙,老生,male,
03021013,大登殿,魏虎,净,male,
03021013,大登殿,王夫人,老旦,female,
03021013,大登殿,马达,丑,male,
03021013,大登殿,江海,丑,male,
03022001,风尘三侠,李靖,生,unknown,
03022001,风尘三侠,红拂,旦,female,
03022001,风尘三侠,张仲坚,净,male,
03022002,沙叱利,柳娘,旦,female,
03022002,沙叱利,韩翊,小生,male,
03022002,沙叱利,沙叱利,净,male,
03022003,古押衙,无双,旦,female,
03022003,古押衙,王仙客,小生,male,
03022003,古押衙,古押衙,净,male,
03022003,古押衙,塞鸿,丑,male,
03022003,古押衙,刘震,老生,male,
03023001,荀灌娘,荀灌娘,旦,female,
03023001,荀灌娘,荀崧,老生,male,
03023001,荀灌娘,荀常,丑,male,
03023001,荀灌娘,周访,净,male,
03026001,坛山谷,姜维,武生,male,
03026001,坛山谷,王瓘,净,male,
03026001,坛山谷,司马望,老生,male,
03026002,渡阴平,邓艾,老生,male,
03026003,假投降,姜维,武生,male,
03026003,假投降,邓艾,净,male,
03026004,取江油,邓艾,老生,male,
03027001,五雷阵,孙膑,老生,male,
03027002,白云山,张良,老生,male,
03027002,白云山,刘邦,老生,male,
03027004,徐庶劝友,徐庶,老生,male,
03027004,徐庶劝友,诸葛亮,老生,male,
03027005,骂王朗,诸葛亮,老生,male,
03027005,骂王朗,王朗,净,male,
03027006,骂杨广,伍建章,老生,male,
03027006,骂杨广,杨广,净,male,
03028001,潞安州,陆登,老生,male,
03028001,潞安州,金兀术,净,male,
03028001,潞安州,韩世忠,老生,male,
03028001,潞安州,梁红玉,旦,female,
03028002,小商河,杨再兴,武生,male,
03028002,小商河,兀术,净,male,
03028002,小商河,岳飞,老生,male,
03028003,牛皋招亲,牛皋,净,male,
03028003,牛皋招亲,戚赛玉,花旦,female,
03028003,牛皋招亲,金节,生,unknown,
03028003,牛皋招亲,岳飞,生,unknown,
03028003,牛皋招亲,金夫人,旦,female,
03028003,牛皋招亲,魔利支,净,male,
03028003,牛皋招亲,汤怀,武生,male,
03028003,牛皋招亲,杨虎,生,unknown,
03028003,牛皋招亲,余化龙,生,unknown,
03028005,汤怀自刎,汤怀,武生,male,
03028005,汤怀自刎,岳飞,老生,male,
03028005,汤怀自刎,金兀术,净,male,
03028006,请宋灵,岳飞,老生,male,
03028006,请宋灵,大丞相,丑,male,
03028006,请宋灵,金兀术,净,male,
03028006,请宋灵,牛皋,净,male,
03028006,请宋灵,宋徽宗,老生,male,
03028006,请宋灵,宋钦宗,老生,male,
03028006,请宋灵,太后,旦,female,
03028006,请宋灵,宋太祖,红生,unknown,
03029001,春秋配,姜秋莲,旦,female,
03029001,春秋配,李春发,小生,male,
03029001,春秋配,张秋鸾,旦,female,
03029001,春秋配,张雁行,净,male,
03029001,春秋配,贾氏,彩旦,female,
03029001,春秋配,乳娘,老旦,female,
03029002,打樱桃,秋水,丑,male,
03029002,打樱桃,平儿,花旦,female,
03029002,打樱桃,秋奉先,小生,male,
03029002,打樱桃,爱娟,旦,female,
03029002,打樱桃,员外,老生,male,
03029002,打樱桃,安人,老旦,female,
03029003,送灯,张继贤,小生,male,
03029003,送灯,贾桂娟,花旦,female,
03029003,送灯,贾氏,老旦,female,
03030001,雁门关【头本】,佘太君,老旦,female,
03030001,雁门关【头本】,杨延昭,老生,male,
03030001,雁门关【头本】,萧太后,旦,female,
03030001,雁门关【头本】,杨延顺,小生,male,
03030001,雁门关【头本】,青莲公主,旦,female,
03030001,雁门关【头本】,韩昌,净,male,
03030001,雁门关【头本】,孟金榜,旦,female,
03030001,雁门关【头本】,蔡秀英,旦,female,
03030001,雁门关【头本】,杨八姐,旦,female,
03030001,雁门关【头本】,杨九妹,旦,female,
03030001,雁门关【头本】,杨宗保,小生,male,
03030002,雁门关【二本】,杨延顺,小生,male,
03030002,雁门关【二本】,佘太君,老旦,female,
03030002,雁门关【二本】,杨延昭,老生,male,
03030002,雁门关【二本】,萧太后,旦,female,
03030002,雁门关【二本】,孟金榜,旦,female,
03030002,雁门关【二本】,蔡秀英,旦,female,
03030002,雁门关【二本】,孟良,净,male,
03030002,雁门关【二本】,焦赞,净,male,
03030002,雁门关【二本】,韩昌,净,male,
03030003,雁门关【三本】,萧太后,旦,female,
03030003,雁门关【三本】,杨延辉,老生,male,
03030003,雁门关【三本】,青莲公主,旦,female,
03030003,雁门关【三本】,碧莲公主,旦,female,
03030003,雁门关【三本】,佘太君,老旦,female,
03030003,雁门关【三本】,孟金榜,旦,female,
03030003,雁门关【三本】,蔡秀英,旦,female,
03030004,雁门关【四本】,佘太君,老旦,female,
03030004,雁门关【四本】,杨延顺,小生,male,
03030004,雁门关【四本】,青莲公主,旦,female,
03030004,雁门关【四本】,碧莲公主,旦,female,
03030004,雁门关【四本】,孟金榜,旦,female,
03030004,雁门关【四本】,蔡秀英,旦,female,
03030004,雁门关【四本】,杨延昭,老生,male,
03030004,雁门关【四本】,岳胜,老生,male,
03030004,雁门关【四本】,杨宗保,小生,male,
03030004,雁门关【四本】,孟良,净,male,
03030004,雁门关【四本】,焦赞,净,male,
03030005,雁门关【五本】,杨延辉,老生,male,
03030005,雁门关【五本】,萧太后,旦,female,
03030005,雁门关【五本】,孟良,净,male,
03030005,雁门关【五本】,焦赞,净,male,
03030005,雁门关【五本】,杨延昭,老生,male,
03030006,雁门关【六本】,萧太后,旦,female,
03030006,雁门关【六本】,佘太君,老旦,female,
03030006,雁门关【六本】,杨延辉,老生,male,
03030006,雁门关【六本】,杨延顺,小生,male,
03030006,雁门关【六本】,杨延昭,老生,male,
03030006,雁门关【六本】,碧莲公主,旦,female,
03030006,雁门关【六本】,青莲公主,旦,female,
03030006,雁门关【六本】,韩昌,净,male,
03030007,雁门关【七本】,孟怀元,净,male,
03030007,雁门关【七本】,殷氏,旦,female,
03030007,雁门关【七本】,杨七姐,旦,female,
03030007,雁门关【七本】,王怀女,旦,female,
03030007,雁门关【七本】,杜金娥,旦,female,
03030007,雁门关【七本】,韩昌,净,male,
03030007,雁门关【七本】,佘太君,老旦,female,
03030007,雁门关【七本】,孟良,净,male,
03030007,雁门关【七本】,焦赞,净,male,
03030007,雁门关【七本】,杨延顺,小生,male,
03030007,雁门关【七本】,碧莲公主,旦,female,
03030007,雁门关【七本】,青莲公主,旦,female,
03030007,雁门关【七本】,萧太后,旦,female,
03030007,雁门关【七本】,杨延辉,老生,male,
03031001,扫地挂画,马忠,丑,male,
03031001,扫地挂画,马赛花,花旦,female,
03031001,扫地挂画,朱元龙,小生,male,
03031002,凤阳花鼓,花鼓娘,旦,female,
03031002,凤阳花鼓,卖艺人,丑,male,
03031002,凤阳花鼓,丑公子,丑,male,
03031004,顶花砖,常天保,丑,male,
03031004,顶花砖,常妻,花旦,female,
03031004,顶花砖,周子清,小生,male,
03031005,双摇会,大奶奶,旦,female,
03031005,双摇会,二奶奶,旦,female,
03031005,双摇会,李相公,小生,male,
03031005,双摇会,邻居甲,丑,male,
03031005,双摇会,邻居乙,丑,male,
03031005,双摇会,书童,丑,male,
03031006,打面缸,大老爷,丑,male,
03031006,打面缸,王书吏,丑,male,
03031006,打面缸,周腊梅,旦,female,
03031006,打面缸,张才,丑,male,
03031006,打面缸,四老爷,丑,male,
03031007,小过年,王小,丑,male,
03031007,小过年,丁氏,花旦,female,
03031007,小过年,王老西,丑,male,
03031007,小过年,白瞎子、县官,丑,male,
03031008,十八扯,孔凤英,旦,female,
03031008,十八扯,孔怀,丑,male,
03033001,取洛阳,马武,净,male,
03033001,取洛阳,岑彭,小生,male,
03033001,取洛阳,邓禹,老生,male,
03033001,取洛阳,刘秀,小生,male,
03033001,取洛阳,苏献,净,male,
03033004,过巴州,张飞,净,male,
03033004,过巴州,严颜,老生,male,
03033004,过巴州,徐大汉,净,male,
03033005,司马师逼宫,司马师,净,male,
03033005,司马师逼宫,张捷,老生,male,
03033005,司马师逼宫,曹芳,小生,male,
03033005,司马师逼宫,皇后,旦,female,
03033005,司马师逼宫,贾玉,老生,male,
03033006,枣阳山,单雄信,净,male,
03033006,枣阳山,秦琼,老生,male,
03033007,打龙棚,郑子明,净,male,
03033007,打龙棚,柴荣,老生,male,
03033007,打龙棚,赵匡胤,红生,unknown,
03033007,打龙棚,高怀德,武生,male,
03034001,孟母断机,孟母,老旦,female,
03034002,孝感天,郑庄公,老生,male,
03034002,孝感天,姜后,老旦,female,
03034002,孝感天,太叔段,小生,male,
03034002,孝感天,卫云环,旦,female,
03034002,孝感天,颍考叔,净,male,
03034003,漂母饭信,漂母,老旦,female,
03034003,漂母饭信,韩信,武生,male,
03034004,陵母伏剑,王母,老旦,female,
03034005,钓金龟,康氏,老旦,female,
03034005,钓金龟,张义,丑,male,
03034005,钓金龟,张宣,老生,male,
03034005,钓金龟,包拯,净,male,
03034005,钓金龟,王氏,旦,female,
03034006,太君辞朝,佘太君,老旦,female,
03034006,太君辞朝,宋仁宗,老生,male,
03037001,金瓶女,金瓶女,旦,female,
03037001,金瓶女,金钱元,小生,male,
03037002,盗红绡,红绡,旦,female,
03037002,盗红绡,崔庆,小生,male,
03037002,盗红绡,昆仑,净,male,
03037002,盗红绡,绿绮,彩旦,female,
03037003,陈圆圆,陈圆圆,旦,female,
03037003,陈圆圆,吴三桂,生,unknown,
03038001,圯桥三进履,张良,生,unknown,
03038001,圯桥三进履,苍海公,净,male,
03038001,圯桥三进履,黄石公,老生,male,
03038001,圯桥三进履,秦始皇,净,male,
03038002,黄金印,韩信,武生,male,
03038002,黄金印,刘邦,老生,male,
03038002,黄金印,项羽,净,male,
03038002,黄金印,张良,老生,male,
03038002,黄金印,范增,老生,male,
03038002,黄金印,萧何,老生,male,
03038003,秋生造律,兰秋生,小生,male,
03038003,秋生造律,萧何,老生,male,
03038003,秋生造律,杨氏,老旦,female,
03038003,秋生造律,赵美容,旦,female,
03038003,秋生造律,刘邦,老生,male,
03038003,秋生造律,英布,净,male,
03039001,救雪艳,莫怀古,老生,male,
03039001,救雪艳,莫成,老生,male,
03039001,救雪艳,雪艳,旦,female,
03039001,救雪艳,汤勤,丑,male,
03039002,一捧雪,莫成,老生,male,
03039002,一捧雪,莫怀古,老生,male,
03039002,一捧雪,戚继光,老生,male,
03039002,一捧雪,雪艳,旦,female,
03039002,一捧雪,严世蕃,净,male,
03039002,一捧雪,汤勤,丑,male,
